hs_class,text
positive,- disaat semua cowok berusaha melacak perhatian gue. loe lantas remehkan perhatian yg gue kasih khusus ke elo. basic elo cowok bego ! ! !'
negative,siapa yang telat ngasih tau elu?edan sarap gue bergaul dengan ciga ifla calis sama siapa noh licew juga'
negative,"41. Kadang aku berfikir, kenapa aku tetap percaya pada Tuhan padahal aku selalu jatuh berkali-kali. Kadang aku merasa Tuhan itu ninggalkan aku sendirian. Ketika orangtuaku berencana berpisah, ketika kakakku lebih memilih jadi Kristen. Ketika aku anak ter"
negative,AKU ITU AKU nKU TAU MATAMU SIPIT TAPI DILIAT DARI MANA ITU AKU'
positive,Kaum cebong kapir udah keliatan dongoknya dari awal tambah dongok lagi hahahah'
positive,Ya bani taplak dkk '
negative,deklarasi pilkada 2018 aman dan anti hoa arga dukuh sari jabon
negative,Gue baru aja kelar re-watch Aldnoah Zero!!! paling kampret emang endingnya! 2 karakter utama cowonya kena friendzone bray! XD URL
negative,"Nah admin belanja satu lagi po terbaik nak makan Ais Kepal Milo, Ais Kepal Horlicks atau Cendol Toping kaw kaw. ð??­ Doket mano tu ? Gerai Rojak Me uaku - Taipan 2 (depan TWINS BABY &amp ROMANTIKA / Bank Islam Senawang) ð???"
negative,Enak lg klo smbil ngewe'
positive,"Setidaknya gw punya jari tengah buat lu, sebelom gw ukur nyali sama bacot lu '"
positive,BANCI KALENG MALU GA BISA JAWAB PE ANYAAN KAMI DARI 2 HARI LALU.... NYUNGSEP KOE URL
negative,Kalo belajar ekonomi mestinya jago memprivatisasi hati orang. Duh.. ironi 
positive,Aktor huruhara 98 Prabowo S ingin lengserkan pemerintahan Jokowi.... Nyata
positive,Bu guru enakan jadi jablay atau guru esde sih. nKayaknya menikmati jadi pecun ini guru.'
positive,"Lawan bicara gw gak intelek kyk loe, yg otak gak punya. Ttg kencing onta, gw mengakui hadis nabi dan itu sahih. Kafir kyk loe pasti menolak, makanya loe ahlunnar.'"
negative,Belakangan ini kok fikiran ampas banget ya'
negative,Ari sarua beki mah repeh monyet '
positive,Jadi cowo itu harus Gantle kalo ga Gantle itu namanya BANCI !'
negative,Slga mnr bom '
negative,"Asw ya tapi gua jarang ngambek, tacut wkkwkwkwkw gua kan bucin.'"
negative,kalo kamu noob pasti peluang disakitin nya lebih gede si'
negative,"Joko Widodo dinilai sebagai presiden terlemah dalam sejarah Indonesia. Hal ini terjadi bukan saja karena Jokowi tidak memiliki modal dukungan politik yang cukup, melainkan juga karena ketidakmampuan pemerintahannya menghadapi situasi ekonomi g"
negative,PELAJAR SMA KEC BILAH HILIR DEKLARASI ANTI HOAX &amp PILKADA 2018 DAMAI
negative,Bandara Udara Internasional Ke ajati dibangun oleh Gubernur Ahmad Heryawan tanpa gunakan APBN pemerintah pusat. Insya Allah siap beroperasi bulan depan 
negative,"Siapapun gubernur dan presidennya, rakyatnya, ya kitaÂ² juga..."
positive,Ini si kerjaannya delay mulu! Setan!'
negative,menurutku pintu sorga ada yaitu pintu sorga yang asli dan pintu hatimu modusbanget
positive,PKI hanya muncul jika jelang pemilihan kepala daerah dan pemilihan presiden krn digoreng sampai gosong.
positive,Itu mah sdh nenek-nenek sy heran sama cebong biasay bohong terus'
positive,"Islam Nusantara produk JIL, dipasarkan dg gencar oleh antek JIL. nSementara JIL anti Arab, tapi pro Aseng! nKata (alm) KH. Hasyim Muzadi,"
negative,Dari habis sahur sampe jam 10. Sibayik udah nete 4 Skg rasanya lemas tak terkira '
negative,Gak kak emak mah gak demen ama yang sipit wkwk'
negative,"Kelakuan homok jaman now, ngentot aja sambil live di Blued #gayvid #gvid #lokalhangat URL"
negative,"Ga kak, gua bukan orang jawa maaf yak ( gua orang palembang soalnya, kakak aja deh yg belajar aksara jawa. Atau kalak mau belajar budaya palembang?"
positive,Pegawai Guardian training lagi kek Mentang2 gue kek gembel cuman kaos sama Flat shoes nanya dijutekin bangsad emang males belinya juga kabur gua ke matahari'
negative,Para Bajingan yang telah melukai Lady harus menerima ganjaran seratus kali lipat!! (sanji) ##HBD17thPelautJKT48'
negative,ajakan menolak berita hoa an sukseskan pilkada di wilayah kota keidri 
negative,Presiden RI Jokowi luarBiasa kerja nya tulus IHLAs untuk #RakyatB3rsamaJKW
negative,Edan emang goollnya fabiano!!'
positive,GAPERNAH MENDALAMI AL-QURAN YA BANG??? PANTESAN MULUTNYA KAYA ORANG KAFIR BEJAT HINA farhatabbaslaw'
negative,"Sangat terlihat beda sekali Kewibawaannya , yg sangat berwibawa cuma gubernur Indonesia Massya Allah..."
positive,Anjir baru kali ini lihat orang bego mau debat pilkada. Kerjanya nyerang karakter. Shame on you mpok silvy and agus. #DebatFinalPilkadaJKT
negative,"#GubernurZamanNow #GusIpulPuti2 #GanjarYasin1 #DjarotSihar2 #HasanAnton2 #KosterAce1 #NurdinSudirman3 #KarolinGidot2 ""Keanekaragaman budaya, suku, agama, itulah sesungguhnya kekayaan kita,â?? tutur Djarot di hadapan pese a Rakercabsuâ?¦"
negative,"Apa iya Islam itu ga boleh dilokalisasi? Lha Kristen aja mas ada Nusantaranya mas, liat aja di Gereja di bandung ada yg pake gamelan dan ada yg khotbah pake bhs Sunda/Jawa, ada HKBP juga kurang Nusantara apa?'"
negative,"Ciptakan Situasi Kamtibmas Menjelang Pilkada 2018, Kapolsek Konang Silaturahmi ke Tokoh Masyarakat"
negative,positif kok. nse-positif respon masyarakat terhadap n- CANGKUL impor n- GARAM impor n- BERAS impor n- JAGUNG impor n- TENAGA KERJA impor n- ESEMKA impor nURL
negative,"Kata Sembahyang mengadopsi tradisi lokal pada masa kerjaan Hindu. nIstilah sembahyang pun lahir dari tradisi ritus menyembahHyang (Yang Tunggal), sama dengan shalat menyembah All"
positive,KAU PENDIKAN TINGGI TAPI BODOH....GK ADA LARANG BAWA AGAMA..BIAR ORANG ISLAM YG DI BAYAR AHOK SADAR GK JADI MILIH AHOK GLA
positive,"BTP the best ,,,abaikan kaum kampret otak micin ,,,'"
positive,", si otak tempurung mah ga usah d ladenin. Smkn d lawan semakin Bloon dan Dungu. Dan kalo ga gitu dia ga makan. Hehe'"
positive,"Awaasss... Jgn sampe beritanya sampe ke akhi gerung! Ntar susah nyari kosakatany. klu bcr aja micingin mata, bibir monyong kesamping, suara keluar ky lg nhn kentut.. ""politik kotor skl jmn ini!"". Klu tahu b ini.. Plng Sambil ky nhn ngeden..""dungu!"". "
positive,pinokio umur 3 taonan tuh. #2019GantiPresiden
negative,"Cerita silat lae semacam Kho Ping Hoo yang dari Indonesia, tapi Liang Ie Shen penulis dari China'"
positive,benci sekali dgn Umat Islam
positive,"""Provokasi mayat, politisasi agama"" penyebab kekalahan pilkada DKI, beginilah cara cebong mendeskripsikan kekalahan junjungannya. FYI ahog blm pernah ikut pemilihan apapun (kec jd wakil) dan dia bukanlah etnis mayorita"
negative,dari pada gua nete'
positive,Lol bani lowo'
negative,"Takabur bisa lahir dari siapa saja. Penguasa, rakyat, ulama maupun cendikia. Bahkan iblis mahluq yg alim &amp telah beribadah beratus2 th dilaknat krn hasud takabburnya. Apalagi hanya seorang ahli ilmu filsafat yg tdk failosof Mari kita demo diri sendi"
negative,"A orang yang suka ke konser-konser, sedikit boros."
negative,[ SAMPAI KAPAN MAKAN RACUN ? ] _ Banyak ulama yang mengatakan hukum rokok mubah dan ada jugaâ?¦
negative,Susilo Bambang Yudhoyono Presiden RI ke 6 meminta Khofifah Emil untuk dekat dengan masyarakat . No 0 Bisa ! BaGusS #KhofifahEmilNomer1
positive,"udah biasa kali. Gue kpoper tapi kalo ngomonv sama temen2 gue, idol gua banci homo'"
negative,Saya suka video URL Awal Kisah Perseteruan Haji Bolot &amp Malih Tongtong'
negative,"Budaya kafir bersungguh, klau hal2 islam tidak diendahkan..."
negative,"la la la...hm hmm ""Semua diam ,semua bisu"" n""Kita coba tanya sama rumput yg bergoyang"" '"
negative,"Apabila setan membisikkan was-was kepadamu, mintalah perlindungan kepada Allah. (QS. al-A raf 200 dan Fushilat 36).'"
negative,Klw ente atheis..ngapain sibuk dgn agama orang...
positive,Lengserkan Jokowi Bangsat!!
negative,Selamat hari ka ini #2019GANTIPRESIDEN #2019PRESIDENBARU
positive,"Bajingan Homo!!! nHati2 terhadap anak2 kita terutama di kamar mandi laki2, jgn biarkan sendiri! URL"
positive,Iya cocot'
negative,karena budaya indonesia.
negative,"Yang ngajarin solat'a ajah itu orang aseng dia hanya ingin memecah belah islam"""
positive,| Lo ngomong aja kaga bener bangke'
negative,Kita semua tidak pernah akan mempercayai yg negara Kita disuatu hari nanti akan dijajah oleh kerana terdapat kes2pembubaran sistem2 beraja dinegara Kita kini untuk menjadikan sebagai negara republik komunis padahal negara2 penjaja
positive,tapi masih menikmati kebijakan yang dulu diusulkan PKI.. lha yo opo...
positive,Kalo seumpama orang cina di usir paksa dari indonesia gimana
negative,bunda ngentot yuk'
positive,china babi... china maling... n#UsirChina https / /t.co /9y4HIWHJp2
negative,"Bung Karno anti asing dan beliau dari Jawa, coba deh adain konsensus lebih banyak mana Jawa yang anti asing atau pro asing karena kebo*ohannya. nKalau kami keliru kami tutup akun'"
positive,PROYEK KORUPSI REZIM SBY URL
negative,"Wajar saja, lihat saja tingkah bbrp petinggi negeri ini yg suka mencampur bhs indonesia dgn bhs asing setiap kali bicara'"
negative,AB pribadi yg senang berkompetisi dalam hal yang baik dan positif
positive,Terus menurut lo kitab suci agAma apa yg di bilang om #Mendadakkalap
negative,Suka nutup mata. Kaga ditutup pun udah terlihat te utup gara2 sipit /?'
negative,"Sy sbg muslim tdk merasa pak menistakan kitab suci Alqur'an, krn dlm Alqur'an sndri ada bbrp suku kata yg smpai dtik ini blm diketahui mkna faktualnya olh umat islam, tp kami yakini kata tsb ada makna yg tersirat (fiksi) yg blm"
positive,eh kasar kau kampang'
negative,"BENTAR LAGI GUA RILIS ALBUM THE ONTA'S WKWKWKWKWK"""
positive,Ada cebong bang dia merasa paling benar'
negative,Najis banget gw ngetwit apa barusan wey'
positive,Kamu transgender atau gmn anjing ( URL
negative,awas bintitan lu ngintipin titit kucing'
negative,"Bawel, baper, bolot, baik, bodor , gaje wkwk apa ya udah itu aja deh'"
positive,"Gue saranin gk perlu bnyk bacot maling ayat, langsung to the point aja lu jadi orang... Yg tdk sepaham lu teriakin aja kafir sesat, liberal, pemuja dukun, bla blaaa.. pasti hatimu puas dehh ..'"
positive,Jgn salah target bkn ahok... agenda utama lengserkan Jokowi ..
positive,masa baru kena hestek aja udah kepanasan ??? Kepo banget #2019GantiPresiden
negative,"Maju lu sini duit tapi kau goyang kaki tak buat pape , mana la duit nak maju kat kau bodo URL"
